review_text,clean_text_v2,sentiment,cluster12,cluster_label
"I'm considering uninstalling this previously wonderful app: since the last update, the widget has gone completely unresponsive...",i m considering uninstalling this previously wonderful app since the last update the widget has gone completely unresponsive,Neutral,11,Widget issues
"Used to be awesome, now I can't sync, log out or save changes made to habits. The quotes is stuck on same one. I have changed passwords, uninstalled and reinstalled, emailed your company and all but deleted app as it no longer keeps record. Please resolve .",used to be awesome now i can t sync log out or save changes made to habits the quotes is stuck on same one i have changed passwords uninstalled and reinstalled emailed your company and all but deleted app as it no longer keeps record please resolve,Negative,9,Sync & login issues
"Redesigned dialogs are broken: 1) ""Import day from"" dialog on routine edit screen – no ""Monday"" & ""Tuesday"" in the day list (spinner) 2) ""+ Notification"" dialog on routine edit screen – no ""Play voice"" checkbox (Please tell me if there's a better way to report bugs like this)",redesigned dialogs are broken import day from dialog on routine edit screen no monday tuesday in the day list spinner notification dialog on routine edit screen no play voice checkbox please tell me if there s a better way to report bugs like this,Negative,9,Sync & login issues
Need more habit columns for free,need more habit columns for free,Negative,5,Habit tracking
The app is what you expect.,the app is what you expect,Neutral,2,General positive
"Don't pay for pro! I paid for the pro, changed phones and it removed my pro status and wants me to pay again!",don t pay for pro i paid for the pro changed phones and it removed my pro status and wants me to pay again,Negative,1,Premium / paywall friction
I don't like this app because...no protecting from this app..,i don t like this app because no protecting from this app,Negative,7,App stability & updates
I love the design and the app in general. I would give it 5 stars if it would allow to size the image and the information displayed.,i love the design and the app in general i would give it stars if it would allow to size the image and the information displayed,Neutral,2,General positive
Used to love this app and originally gave it 5 stars. It has stopped sinking with my phone for about 6 or more months but functioned perfectly on my phone. However for the last couple of weeks my appointment reminders only function occassionally. I've gone through the settings on both devices and cant find anything wrong. I have reinstalled the app several times but nothing helps. I can no longer reccomend this app.,used to love this app and originally gave it stars it has stopped sinking with my phone for about or more months but functioned perfectly on my phone however for the last couple of weeks my appointment reminders only function occassionally i ve gone through the settings on both devices and cant find anything wrong i have reinstalled the app several times but nothing helps i can no longer reccomend this app,Negative,4,Reminders & notifications
"I really like many of the function, especially since they are easy to use. Now if I may say, I would like to see a more elaborate calendar set up much like the one used in Google Calendar where the user can see the whole month at once. Plus, it can be very useful to add an option where tasks are set up where they repeat even if the user has missed a deadline for a previous one. I'm a college student and I like to see what sorts of homework I have done and which ones I have missed.",i really like many of the function especially since they are easy to use now if i may say i would like to see a more elaborate calendar set up much like the one used in google calendar where the user can see the whole month at once plus it can be very useful to add an option where tasks are set up where they repeat even if the user has missed a deadline for a previous one i m a college student and i like to see what sorts of homework i have done and which ones i have missed,Positive,10,Calendar integration
"MS To Do is practically USELESS! Restricting access solely to MS account holders severely limits any ability to coordinate tasks/punch lists with non MS users (ie. customers, collaborators, vendors). It is inconvenient and UNNECESSARY to require the creation of a MS account in order to use an app that was previously available universally (as Wunderlist). This restriction was intentionally added. Who's genius idea was this?",ms to do is practically useless restricting access solely to ms account holders severely limits any ability to coordinate tasks punch lists with non ms users ie customers collaborators vendors it is inconvenient and unnecessary to require the creation of a ms account in order to use an app that was previously available universally as wunderlist this restriction was intentionally added who s genius idea was this,Negative,0,Task management
"When I checklist Today's note, automatically Overdue's Note checked too?? what's wrong..??",when i checklist today s note automatically overdue s note checked too what s wrong,Negative,4,Reminders & notifications
